,time,high,low,open,volumefrom,volumeto,close,RealTime
1801,1628553600,2291.94,2210.63,2235.02,298894.98,672557076.13,2250.15,2021-08-10
1802,1628640000,2292.6,2246.91,2250.15,288846.74,654385549.68,2265.51,2021-08-11
1803,1628726400,2249.19,2168.57,2265.51,288007.6,631935202.09,2194.16,2021-08-12
1804,1628812800,2401.56,2341.74,2194.16,293242.55,696622009.33,2375.58,2021-08-13
1805,1628899200,2348.17,2319.96,2375.58,282161.62,657067076.48,2328.69,2021-08-14
1806,1628985600,2369.59,2294.21,2328.69,262187.89,621189219.91,2369.25,2021-08-15
1807,1629072000,2335.43,2270.5,2369.25,249290.37,566180120.99,2271.17,2021-08-16
1808,1629158400,2270.4,2183.07,2271.17,257261.21,563038710.14,2188.59,2021-08-17
1809,1629244800,2209.31,2162.86,2188.59,237337.33,519648897.51,2189.5,2021-08-18
1810,1629331200,2319.86,2254.15,2189.5,255386.65,592112882.04,2318.5,2021-08-19
1811,1629417600,2465.75,2376.77,2318.5,335418.28,801663800.01,2390.04,2021-08-20
1812,1629504000,2397.07,2329.62,2390.04,205065.67,480418936.06,2342.76,2021-08-21
1813,1629590400,2391.73,2335.59,2342.76,192000.31,454237880.12,2365.82,2021-08-22
1814,1629676800,2439.08,2359.72,2365.82,248182.0,600500605.42,2419.6,2021-08-23
1815,1629763200,2352.12,2289.53,2419.6,596845.76,1379984932.76,2312.13,2021-08-24
1816,1629849600,2378.61,2324.48,2312.13,211456.39,496195735.09,2346.56,2021-08-25
1817,1629936000,2278.13,2239.14,2346.56,202939.71,458297933.67,2258.3,2021-08-26
1818,1630022400,2404.11,2344.54,2258.3,230827.04,549252711.55,2379.5,2021-08-27
1819,1630108800,2374.08,2343.54,2379.5,183703.21,432929773.75,2356.68,2021-08-28
1820,1630195200,2358.45,2325.86,2356.68,193316.66,452708581.48,2341.8,2021-08-29
1821,1630281600,2361.53,2247.43,2341.8,302957.83,710992956.63,2346.84,2021-08-30
1822,1630368000,2500.01,2341.96,2346.84,426178.11,1063988286.94,2496.58,2021-08-31
1823,1630454400,2788.5,2572.03,2496.58,477806.36,1329819380.91,2783.18,2021-09-01
1824,1630540800,2792.59,2654.79,2783.18,373585.34,1022252319.5,2736.33,2021-09-02
1825,1630627200,2862.9,2753.01,2736.33,364744.65,1035028984.02,2837.68,2021-09-03
1826,1630713600,2852.43,2773.25,2837.68,276895.6,775674456.35,2801.32,2021-09-04
1827,1630800000,2938.72,2838.67,2801.32,255535.08,728050752.71,2849.12,2021-09-05
1828,1630886400,2922.06,2834.14,2849.12,250990.26,712202290.71,2837.57,2021-09-06
1829,1630972800,2567.09,2397.4,2837.57,565756.87,1414681281.97,2500.51,2021-09-07
1830,1631059200,2560.74,2422.87,2500.51,448913.38,1143376116.11,2546.99,2021-09-08
1831,1631145600,2579.15,2480.88,2546.99,282683.65,702350859.01,2484.58,2021-09-09
1832,1631232000,2428.0,2303.92,2484.58,295695.72,687214991.85,2324.06,2021-09-10
1833,1631318400,2394.19,2341.8,2324.06,187396.77,443816737.44,2368.33,2021-09-11
1834,1631404800,2507.91,2403.83,2368.33,183465.33,452831544.22,2468.21,2021-09-12
1835,1631491200,2412.55,2324.01,2468.21,258494.31,614964080.81,2379.02,2021-09-13
1836,1631577600,2517.62,2447.56,2379.02,213125.96,530742493.02,2490.28,2021-09-14
1837,1631664000,2614.25,2496.18,2490.28,243657.97,636982233.13,2614.25,2021-09-15
1838,1631750400,2634.8,2565.17,2614.25,253049.91,655077553.34,2588.73,2021-09-16
1839,1631836800,2578.59,2461.51,2588.73,251094.46,621443841.98,2474.94,2021-09-17
1840,1631923200,2556.49,2484.06,2474.94,199274.58,498373352.22,2500.94,2021-09-18
1841,1632009600,2467.83,2407.23,2500.94,210846.43,511476451.66,2425.82,2021-09-19
1842,1632096000,2227.49,2162.14,2425.82,301269.25,654795169.87,2173.46,2021-09-20
1843,1632182400,2120.65,2001.19,2173.46,343931.88,695751437.33,2022.93,2021-09-21
1844,1632268800,2263.44,2160.59,2022.93,243390.69,550900178.59,2263.44,2021-09-22
1845,1632355200,2334.91,2289.69,2263.44,188220.95,433372974.43,2302.47,2021-09-23
1846,1632441600,2207.4,2091.5,2302.47,280251.42,602078219.99,2148.35,2021-09-24
1847,1632528000,2166.29,2111.45,2148.35,221838.06,476046447.18,2145.92,2021-09-25
1848,1632614400,2253.56,2112.95,2145.92,235510.23,528723093.84,2245.01,2021-09-26
1849,1632700800,2208.6,2133.36,2245.01,192850.09,412786034.89,2140.45,2021-09-27
1850,1632787200,2121.97,2064.87,2140.45,181281.13,376469730.44,2076.72,2021-09-28
1851,1632873600,2150.65,2105.74,2076.72,166097.93,353154258.12,2126.18,2021-09-29
1852,1632960000,2269.86,2224.95,2126.18,166795.97,371763917.84,2228.85,2021-09-30
1853,1633046400,2475.09,2407.56,2228.85,225508.5,550860913.74,2442.75,2021-10-01
1854,1633132800,2532.96,2410.77,2442.75,209585.2,524818774.98,2504.08,2021-10-02
1855,1633219200,2550.85,2506.41,2504.08,161002.3,405884077.63,2520.98,2021-10-03
1856,1633305600,2567.64,2485.91,2520.98,188948.35,469912792.12,2486.99,2021-10-04
1857,1633392000,2612.92,2568.71,2486.99,221226.89,570858504.71,2580.42,2021-10-05
1858,1633478400,2795.6,2624.84,2580.42,298663.72,784795388.05,2627.69,2021-10-06
1859,1633564800,2647.82,2521.02,2626.04,194726.78,511460523.84,2626.55,2021-10-07
